"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"109","Hawaii","ncaa","#024731","#C8C8C8","#000000",NA,"Big West","Hawaii",NA,"Hawaii Warriors","https://content.sportslogos.net/logos/31/696/thumbs/2494.gif"
"110","High Point Panthers","ncaa","#330072","#FFFFFF",NA,NA,"Big South","High","Point Panthers","High Point Panthers","https://content.sportslogos.net/logos/31/697/thumbs/69756152012.gif"
"111","Hofstra Pride","ncaa","#FDC82F","#003591",NA,NA,"CAA","Hofstra","Pride","Hofstra Pride","https://content.sportslogos.net/logos/31/698/thumbs/qs9j3fihpcuf30g310wtqebuw.gif"
"112","Holy Cross","ncaa","#602D89","#FFFFFF",NA,NA,"Patriot","Holy","Cross","Holy Cross",NA
"113","Houston Christian Huskies","ncaa","#00529C","#F85512",NA,NA,"Southland","Houston","Christian Huskies","Houston Christian Huskies",NA
"114","Houston Cougars","ncaa","#C8102E","#76232F","#B2B4B2",NA,"AAC","Houston","Cougars","Houston Cougars","https://content.sportslogos.net/logos/31/700/thumbs/70018072017.gif"
"115","Howard Bison[x]","ncaa","#003A63","#FFFFFF",NA,NA,"MEAC","Howard","Bison[x]","Howard Bison[x]",NA
"116","IUPUI","ncaa","#9D2235","#DFD1A7","#000000",NA,"Horizon","IUPUI",NA,"IUPUI Jaguars","https://content.sportslogos.net/logos/32/703/thumbs/70394972017.gif"
"117","Idaho State Bengals","ncaa","#000000","#F9A81A",NA,NA,"Big Sky","Idaho State","Bengals","Idaho State Bengals","https://content.sportslogos.net/logos/32/705/thumbs/70529292019.gif"
"118","Idaho Vandals","ncaa","#EAAB00","#86754D","#808080","#000000","Big Sky","Idaho","Vandals","Idaho Vandals","https://content.sportslogos.net/logos/32/704/thumbs/70424842018.gif"
"119","Illinois","ncaa","#13294B","#E84A27",NA,NA,"Big 10","Illinois",NA,"Illinois Fighting Illini","https://content.sportslogos.net/logos/32/706/thumbs/70683592014.gif"
"120","Illinois State Redbirds","ncaa","#CE1126","#F9DD16","#000000",NA,"MVC","Illinois State","Redbirds","Illinois State Redbirds","https://content.sportslogos.net/logos/32/707/thumbs/5l5bieqet3144zaiwte9.gif"
"121","Indiana","ncaa","#990000","#EEEDEB",NA,NA,"Big 10","Indiana",NA,"Indiana",NA
"122","Indiana State Sycamores","ncaa","#0142BC","#FFFFFF",NA,NA,"MVC","Indiana State","Sycamores","Indiana State Sycamores","https://content.sportslogos.net/logos/32/710/thumbs/71088862020.gif"
"123","Iona Gaels","ncaa","#6F2C3F","#F2A900",NA,NA,"MAAC","Iona","Gaels","Iona Gaels","https://content.sportslogos.net/logos/32/711/thumbs/71185382016.gif"
"124","Iowa","ncaa","#FFCD00","#000000",NA,NA,"Big 10","Iowa",NA,"Iowa",NA
"125","Iowa State","ncaa","#C8102E","#F1BE48",NA,NA,"Big 12","Iowa State",NA,"Iowa State",NA
"126","Jackson State Tigers[v]","ncaa","#002147","#FFFFFF",NA,NA,"SWAC","Jackson State","Tigers[v]","Jackson State Tigers[v]",NA
"127","Jacksonville Dolphins","ncaa","#084E44","#FFFFFF",NA,NA,"A-Sun","Jacksonville","Dolphins","Jacksonville Dolphins","https://content.sportslogos.net/logos/32/715/thumbs/71573342018.gif"
"128","Jacksonville State Gamecocks","ncaa","#004E44","#898A8D","#BBBBBB","#000000","A-Sun","Jacksonville State","Gamecocks","Jacksonville State Gamecocks","https://content.sportslogos.net/logos/32/716/thumbs/84gdv65kg9fdjefh4teoh5355.gif"
"129","James Madison Dukes","ncaa","#450084","#CBB677",NA,NA,"Sunbelt","James","Madison Dukes","James Madison Dukes","https://content.sportslogos.net/logos/32/717/thumbs/71751492017.gif"
"130","Kansas City","ncaa","#005293","#FECB00","#000000","#DCDDDE","Summit","Kansas City",NA,"Kansas City",NA
"131","Kansas Jayhawks","ncaa","#0051BA","#E8000D","#FFC82D","#85898A","Big 12","Kansas","Jayhawks","Kansas Jayhawks","https://content.sportslogos.net/logos/32/718/thumbs/t96oee4doe8n2oxaft7f.gif"
"132","Kansas State Wildcats","ncaa","#512888","#D1D1D1","#A7A7A7","#FFFFFF","Big 12","Kansas State","Wildcats","Kansas State Wildcats","https://content.sportslogos.net/logos/32/719/thumbs/71944342019.gif"
"133","Kennesaw State Owls","ncaa","#FDBB30","#0B1315","#C5C6C8",NA,"A-Sun","Kennesaw State","Owls","Kennesaw State Owls","https://content.sportslogos.net/logos/32/4949/thumbs/494943922012.gif"
"134","Kent State Golden Flashes","ncaa","#002664","#EAAB00",NA,NA,"MAC","Kent State","Golden Flashes","Kent State Golden Flashes","https://content.sportslogos.net/logos/32/720/thumbs/72041732017.gif"
"135","Kentucky Wildcats","ncaa","#0033A0","#FFFFFF","#000000",NA,"SEC","Kentucky","Wildcats","Kentucky Wildcats","https://content.sportslogos.net/logos/32/721/thumbs/72178322016.gif"
"136","LIU","ncaa","#231F20","#8A8D8F",NA,NA,"NEC","LIU",NA,"LIU",NA
"137","LMU (CA)","ncaa","#B62B3A","#00447C","#617080","#231F20","WCC","LMU","(CA)","Loyola Marymount Lions","https://content.sportslogos.net/logos/32/737/thumbs/73722732019.gif"
"138","LSU","ncaa","#461D7C","#FDD023",NA,NA,"SEC","LSU",NA,"LSU Tigers","https://content.sportslogos.net/logos/32/723/thumbs/s4dleiha8ddfi6cdweqjtgeq9.gif"
"139","La Salle Explorers","ncaa","#FFCC00","#003366",NA,NA,"A-10","La Salle","Explorers","La Salle Explorers","https://content.sportslogos.net/logos/32/724/thumbs/72445432020.gif"
"140","Lafayette","ncaa","#910029","#A8996E",NA,NA,"Patriot","Lafayette",NA,"Lafayette",NA
"141","Lamar University","ncaa","#E31937","#000000",NA,NA,"Southland","Lamar","University","Lamar University",NA
"142","Lehigh Mountain Hawks","ncaa","#4B2913","#FFFFFF",NA,NA,"Patriot","Lehigh","Mountain Hawks","Lehigh Mountain Hawks","https://content.sportslogos.net/logos/32/727/thumbs/6915.gif"
"143","Liberty Flames[ac]","ncaa","#990000","#0A254E",NA,NA,"A-Sun","Liberty","Flames[ac]","Liberty Flames[ac]",NA
"144","Lindenwood","ncaa","#101820","#B5A36A",NA,NA,"OVC","Lindenwood",NA,"Lindenwood",NA
"145","Lipscomb Bisons[ad]","ncaa","#331E54","#F4AA00","#000000",NA,"A-Sun","Lipscomb","Bisons[ad]","Lipscomb Bisons[ad]",NA
"146","Little Rock","ncaa","#6E2639","#A7A9AC",NA,NA,"OVC","Little Rock",NA,"Little Rock Trojans","https://content.sportslogos.net/logos/32/5844/thumbs/584449042016.gif"
"147","Long Beach State","ncaa","#FFC72A","#000000",NA,NA,"Big West","Long Beach State",NA,"Long Beach State 49ers","https://content.sportslogos.net/logos/32/730/thumbs/73050262014.gif"
"148","Longwood Lancers","ncaa","#041E42","#FFFFFF",NA,NA,"Big South","Longwood","Lancers","Longwood Lancers","https://content.sportslogos.net/logos/32/2609/thumbs/260995192014.gif"
"149","Louisiana","ncaa","#CE181E","#0A0203","#C1C5C9","#F18C21","Sunbelt","Louisiana",NA,"Louisiana Ragin Cajuns","https://content.sportslogos.net/logos/32/732/thumbs/73239682018.gif"
"150","Louisiana Tech Bulldogs[ae]","ncaa","#E31B23","#A2AAAD","#111111",NA,"C-USA","Louisiana Tech","Bulldogs[ae]","Louisiana Tech Bulldogs[ae]",NA
"151","Louisville Cardinals","ncaa","#AD0000","#000000","#FDB913","#CCCCCC","ACC","Louisville","Cardinals","Louisville Cardinals","https://content.sportslogos.net/logos/32/734/thumbs/73446722007.gif"
